name,score,user score,critics,users,platform,rating
Fable,85,85.0,87,325,Xbox,79.87
Yakuza 0,85,85.0,87,1108,PlayStation4,79.87
GRID,87,78.0,62,138,Xbox360,79.84
Cuphead,86,84.0,72,846,XboxOne,79.83
Psychonauts,88,88.0,54,78,Xbox,79.8
Rayman Origins,88,84.0,54,324,PlayStationVita,79.8
Battlefield 1,88,71.0,54,2224,PC,79.8
Tekken: Dark Resurrection,88,86.0,54,179,PSP,79.8
Bloodborne: The Old Hunters,87,91.0,61,1781,PlayStation4,79.77
Half-Life 2: Episode One,87,86.0,61,2613,PC,79.77
Uncharted: The Lost Legacy,84,79.0,104,1657,PlayStation4,79.76
Red Faction: Guerrilla,85,80.0,84,251,Xbox360,79.76
Sonic Mania,86,80.0,70,629,PlayStation4,79.73
Kirby's Epic Yarn,86,85.0,70,278,Wii,79.73
Tomb Raider,86,85.0,70,1228,Xbox360,79.73
Resistance: Fall of Man,86,80.0,70,837,PlayStation3,79.73
Forza Horizon,85,84.0,83,534,Xbox360,79.72
Metroid: Samus Returns,85,88.0,83,530,3DS,79.72
Far Cry 4,85,77.0,83,2197,PlayStation4,79.72
Sin & Punishment: Star Successor,87,85.0,60,100,Wii,79.7
Rez Infinite,89,76.0,47,187,PlayStation4,79.69
Halo 5: Guardians,84,64.0,101,3266,XboxOne,79.68
Dead Rising,85,77.0,82,566,Xbox360,79.68
NHL 10,88,83.0,52,73,Xbox360,79.64
Pokemon HeartGold Version,87,91.0,59,867,DS,79.63
Divinity: Original Sin,87,87.0,59,2218,PC,79.63
Zack & Wiki: Quest for Barbaros' Treasure,87,86.0,59,130,Wii,79.63
Dragon Age: Origins,86,80.0,68,803,Xbox360,79.62
Titanfall,86,67.0,68,2507,XboxOne,79.62
Starcraft II: Heart of the Swarm,86,80.0,68,1528,PC,79.62
Gears of War 4,84,70.0,99,1467,XboxOne,79.62
Fallout 4,87,67.0,58,5440,PlayStation4,79.56
Mario Kart: Double Dash!!,87,86.0,58,412,GameCube,79.56
Syphon Filter: Dark Mirror,87,88.0,58,140,PSP,79.56
Fight Night Round 3,86,88.0,67,268,Xbox360,79.56
Star Wars: Knights of the Old Republic II: The Sith Lords,86,86.0,67,178,Xbox,79.56
Mortal Kombat,86,83.0,66,420,Xbox360,79.51
DJ Hero 2,86,84.0,66,24,Xbox360,79.51
Ghost of Tsushima,83,92.0,122,17420,PlayStation4,79.49
flower,87,85.0,57,315,PlayStation3,79.49
Sid Meier's Pirates!,88,83.0,50,241,PC,79.47
Marvel vs. Capcom 3: Fate of Two Worlds,85,71.0,77,174,Xbox360,79.46
The Outer Worlds,85,80.0,77,1344,PlayStation4,79.46
Mercenaries,86,87.0,65,56,Xbox,79.45
13 Sentinels: Aegis Rim,86,89.0,65,94,PlayStation4,79.45
DmC: Devil May Cry,86,53.0,65,1484,Xbox360,79.45
Pokemon White Version,87,77.0,56,581,DS,79.42
Super Smash Bros. for Nintendo 3DS,85,85.0,76,849,3DS,79.42
Dead or Alive 4,85,81.0,76,246,Xbox360,79.42
Call of Duty 2,86,85.0,64,936,PC,79.39
NHL 11,88,77.0,49,72,Xbox360,79.38
Crimson Skies: High Road to Revenge,88,88.0,49,53,Xbox,79.38
Meteos,88,74.0,49,175,DS,79.38
Far Cry 2,85,67.0,75,317,Xbox360,79.37
Paper Mario: The Thousand-Year Door,87,91.0,55,542,GameCube,79.34
Burnout Paradise,87,77.0,55,506,PlayStation3,79.34
Rayman Origins,87,82.0,55,241,Xbox360,79.34
Dragon Quest Builders 2,86,77.0,63,95,PlayStation4,79.33
Xenoblade Chronicles 3D,86,88.0,63,328,3DS,79.33
Gears 5,84,82.0,89,2861,XboxOne,79.3
Fight Night Round 2,88,82.0,48,30,Xbox,79.29
Lara Croft and the Guardian of Light,85,84.0,73,114,Xbox360,79.28
Mario Kart 7,85,82.0,73,819,3DS,79.28
Star Wars: The Old Republic,85,60.0,73,2773,PC,79.28
Spelunky,87,73.0,54,135,Xbox360,79.27
Bayonetta,87,77.0,54,440,PlayStation3,79.27
Metal Gear Solid: Portable Ops,87,81.0,54,190,PSP,79.27
Pro Evolution Soccer 2016,87,72.0,54,711,PlayStation4,79.27
Call of Duty: United Offensive,87,82.0,54,297,PC,79.27
Professor Layton and the Unwound Future,86,88.0,62,161,DS,79.27
Punch-Out!!,86,86.0,62,121,Wii,79.27
Monster Hunter Generations,85,80.0,72,159,3DS,79.23
Professor Layton and the Curious Village,85,84.0,72,202,DS,79.23
Xenoblade Chronicles X,84,91.0,87,1722,WiiU,79.23
We Love Katamari,86,88.0,61,71,PlayStation2,79.21
NBA 2K17,88,62.0,47,301,PlayStation4,79.19
Nex Machina: Death Machine,88,81.0,47,152,PlayStation4,79.19
Owlboy,88,76.0,47,250,PC,79.19
The Stanley Parable,88,80.0,47,2093,PC,79.19
Middle-earth: Shadow of Mordor,84,80.0,85,2404,PlayStation4,79.15
Killzone 3,84,80.0,85,1059,PlayStation3,79.15
