name,score,user score,critics,users,platform,rating
Super Mario Maker,88,87.0,85,840,WiiU,77.27
Braid,90,86.0,11,936,PC,77.27
Resident Evil 7: biohazard,86,80.0,100,2975,PlayStation4,77.25
Battlefield: Bad Company 2,88,86.0,75,929,Xbox360,77.23
Animal Crossing: New Leaf,88,87.0,70,827,3DS,77.18
inFamous,85,83.0,98,1394,PlayStation3,77.18
Call of Duty,91,85.0,44,1035,PC,77.17
Crash Bandicoot N. Sane Trilogy,80,84.0,85,1182,PlayStation4,77.15
Portal 2,95,85.0,54,1030,PlayStation3,77.14
Pokemon Emerald Version,76,89.0,28,681,GameBoyAdvance,77.13
Call of Duty 4: Modern Warfare,94,84.0,44,1170,PlayStation3,77.1
Sid Meier's Civilization V,90,80.0,70,2736,PC,77.06
Resident Evil 2,93,86.0,27,896,XboxOne,77.04
Assassin's Creed: Brotherhood,88,82.0,24,1609,PC,77.02
Spec Ops: The Line,76,82.0,16,1605,PC,77.01
Batman: Arkham Knight,87,79.0,89,3981,PlayStation4,76.99
The Wolf Among Us,80,88.0,13,725,PC,76.98
SOMA,84,84.0,68,1138,PC,76.98
The Legend of Zelda: Link's Awakening,87,84.0,111,1135,Switch,76.97
Dead Space 2,90,87.0,83,791,Xbox360,76.94
Unreal Tournament 2004,93,88.0,48,719,PC,76.93
The Secret World,74,83.0,55,1302,PC,76.9
Hitman: Blood Money,82,88.0,35,714,PC,76.89
Luigi's Mansion 3,86,85.0,106,977,Switch,76.89
Dead Space,88,88.0,67,709,PlayStation3,76.85
Grand Theft Auto V,96,78.0,57,6661,PC,76.82
Pikmin 3,87,87.0,79,773,WiiU,76.81
Kingdom Come: Deliverance,76,80.0,60,2434,PC,76.77
The Binding of Isaac,84,84.0,30,1086,PC,76.77
Mario + Rabbids: Kingdom Battle,85,84.0,104,1084,Switch,76.76
Ori and the Will of the Wisps,88,86.0,44,848,PC,76.76
Grand Theft Auto III,93,83.0,20,1254,PC,76.75
Middle-earth: Shadow of Mordor,84,80.0,85,2404,PlayStation4,76.74
Grand Theft Auto IV,98,79.0,86,3364,Xbox360,76.68
Call of Duty 2,86,85.0,64,936,PC,76.68
LIMBO,88,81.0,22,1800,PC,76.68
Uncharted: Drake's Fortune,88,79.0,66,3327,PlayStation3,76.66
Starcraft II: Legacy of the Void,88,84.0,62,1059,PC,76.66
AudioSurf,85,87.0,25,751,PC,76.65
Kingdom Hearts III,83,80.0,88,2303,PlayStation4,76.63
Sleeping Dogs,80,82.0,23,1425,PC,76.58
Battlefield 2,91,84.0,55,1017,PC,76.48
BioShock 2,88,81.0,36,1688,PC,76.47
Killzone 2,91,81.0,94,1672,PlayStation3,76.44
A Plague Tale: Innocence,81,85.0,33,887,PC,76.42
Devil May Cry,94,86.0,37,790,PlayStation2,76.39
The Stanley Parable,88,80.0,47,2093,PC,76.38
Alan Wake,83,82.0,100,1333,Xbox360,76.33
Mario Kart Wii,82,84.0,73,982,Wii,76.31
Fallout 3,91,78.0,48,4462,PC,76.31
Tomb Raider: Definitive Edition,85,81.0,54,1602,PlayStation4,76.3
A Plague Tale: Innocence,81,85.0,61,861,PlayStation4,76.27
Titanfall 2,86,83.0,30,1112,PC,76.25
"Warhammer 40,000: Dawn of War II",85,81.0,67,1578,PC,76.25
Forza Horizon 2,86,83.0,85,1110,XboxOne,76.24
Fallout: New Vegas,84,84.0,81,964,Xbox360,76.23
DOOM Eternal,88,84.0,33,958,XboxOne,76.2
Super Smash Bros. for Nintendo 3DS,85,85.0,76,849,3DS,76.2
INSIDE,87,85.0,22,847,PC,76.19
Star Wars: Knights of the Old Republic II - The Sith Lords,85,85.0,31,846,PC,76.18
Assassin's Creed: Brotherhood,90,83.0,59,1092,PlayStation3,76.17
Cuphead,88,82.0,31,1271,PC,76.15
LittleBigPlanet 2,91,86.0,86,754,PlayStation3,76.14
Subnautica,87,85.0,39,838,PC,76.14
Dead Space,86,81.0,28,1525,PC,76.13
Wolfenstein: The New Order,79,81.0,73,1521,PlayStation4,76.12
Saints Row: The Third,84,81.0,22,1520,PC,76.12
Celeste,92,85.0,36,835,Switch,76.12
Alan Wake,83,80.0,30,1892,PC,76.09
God of War Collection,91,87.0,50,678,PlayStation3,76.09
Sid Meier's Civilization IV,94,83.0,50,1070,PC,76.09
Resident Evil HD Remaster,83,85.0,49,829,PlayStation4,76.08
